,Name,Brewery,Type,Alcohol,Stock,Strong,Country
0,Aardbeien Lambic St. Louis,Van Honsebrouck,red,5.00%,18,normal,Belgium
1,Aarschotse Brown,De Biertoren,brown,4.00%,4,light,Belgium
2,Abbaye de Bonne-Esperance,Lefebvre,amber,8.00%,93,strong,Belgium
3,Abbaye de Brogne donker,De Smedt,unknown,6.70%,48,normal,Belgium
4,Abbaye de Cambron,Brasserie de Silly,amber,6.50%,72,normal,Belgium
5,Abbaye de Gembloux,Lefebvre,amber,8.00%,38,strong,Belgium
6,Abbaye de la Moinette brune,Dupont,brown,8.50%,59,strong,Belgium
7,Abbaye de la Moinette brune,Dupont,brown,7.50%,51,strong,Belgium
8,Abbaye de la Moinette-Special Nouvel An,Dupont,amber,8.50%,100,strong,Belgium
9,Abbaye de Leffe Brown,St. Guibert,brown,6.30%,5,normal,Belgium
10,Abbaye de Leffe radieuse,St. Guibert,dark brown,8.60%,46,strong,Belgium
11,Abbaye de Leffe trippel,St. Guibert,brown,7.10%,14,strong,Belgium
12,Abbaye de Leffe vieille cuvée,St. Guibert,brown,7.80%,63,strong,Belgium
13,Abbaye des Rocs,Eloir-Bertiau,amber,9.25%,45,strong,Belgium
14,Abbaye des Rocs Special,Eloir-Bertiau,unknown,9.50%,70,strong,Belgium
15,Abbaye de Leffe brown,St. Guibert,amber,6.30%,98,normal,Belgium
16,Abdijbier Affligem brown,De Smedt,brown,6.90%,77,normal,Belgium
17,Abdijbier Affligem dark,De Smedt,dark,6.90%,36,normal,Belgium
18,Abdijbier Affligem trippel,De Smedt,amber,9.60%,79,strong,Belgium
19,Abdijbier Sint-Idesbald brown,Damberd,brown,6.25%,40,normal,Belgium
20,Abdijbier Sint-Idesbald pale,Damberd,brown,6.25%,32,normal,Belgium
21,Abdijbier Sint-Idesbald trippel,Damberd,brown,8.00%,91,strong,Belgium
22,Adler,Haacht,golden,6.70%,93,normal,Belgium
23,Aerts 1900,Palm,amber-red,6.00%,5,normal,Belgium
24,Affligem red,De Smedt,red,6.70%,97,normal,Belgium
25,Akila Export,Louwaege,unknown,4.60%,6,light,Belgium
26,Akila Pils,Louwaege,brown,5.00%,31,normal,Belgium
27,Alexander,Rodenbach,unknown,6.50%,37,normal,Belgium
28,Alfri,Roman,unknown,0.50%,86,light,Belgium
29,Ambiorix,Slaghmuylder,unknown,8.00%,39,strong,Belgium
30,Anglo pils,Alken-Maes,brown,5.00%,9,normal,Belgium
31,Antiek,Isebaert,amber,7.75%,83,strong,Belgium
32,Antiek,Vieille Villers,unknown,8.00%,93,strong,Belgium
33,Antigoon,Isebaert,unknown,8.00%,64,strong,Belgium
34,Arabier,De Dolle Brouwers,dark brown,8.00%,88,strong,Belgium
35,Ardennaise,Poncelet,unknown,,12,,Belgium
36,Artevelde,Huyghe,amber,6.50%,26,normal,Belgium
